action_type,event_type,loc_x,loc_y,minutes_remaining,period,player_name,position,height,shot_distance,shot_made_flag,points,shot_type,shot_zone_basic,shot_zone_range,team_name
Jump Shot,Missed Shot,-175,262,9,1,Stephen Curry,"Point Guard, Shooting Guard",6.3,31,0,0,3PT Field Goal,Above the Break 3,24+ ft.,Golden State Warriors
Turnaround Jump Shot,Made Shot,-213,170,7,1,Stephen Curry,"Point Guard, Shooting Guard",6.3,27,1,3,3PT Field Goal,Above the Break 3,24+ ft.,Golden State Warriors
Jump Shot,Made Shot,-136,254,9,2,Stephen Curry,"Point Guard, Shooting Guard",6.3,28,1,3,3PT Field Goal,Above the Break 3,24+ ft.,Golden State Warriors
Jump Shot,Missed Shot,-221,225,9,2,Stephen Curry,"Point Guard, Shooting Guard",6.3,31,0,0,3PT Field Goal,Above the Break 3,24+ ft.,Golden State Warriors
Jump Shot,Made Shot,125,147,7,2,Stephen Curry,"Point Guard, Shooting Guard",6.3,19,1,2,2PT Field Goal,Mid-Range,16-24 ft.,Golden State Warriors
Driving Finger Roll Layup Shot,Missed Shot,-19,29,6,2,Stephen Curry,"Point Guard, Shooting Guard",6.3,3,0,0,2PT Field Goal,Restricted Area,Less Than 8 ft.,Golden State Warriors
Jump Shot,Missed Shot,172,62,5,2,Stephen Curry,"Point Guard, Shooting Guard",6.3,18,0,0,2PT Field Goal,Mid-Range,16-24 ft.,Golden State Warriors
Jump Shot,Made Shot,-157,225,4,2,Stephen Curry,"Point Guard, Shooting Guard",6.3,27,1,3,3PT Field Goal,Above the Break 3,24+ ft.,Golden State Warriors
Jump Shot,Made Shot,233,67,2,2,Stephen Curry,"Point Guard, Shooting Guard",6.3,24,1,3,3PT Field Goal,Right Corner 3,24+ ft.,Golden State Warriors
Jump Shot,Missed Shot,-228,57,2,2,Stephen Curry,"Point Guard, Shooting Guard",6.3,23,0,0,3PT Field Goal,Left Corner 3,24+ ft.,Golden State Warriors
Jump Shot,Missed Shot,177,223,0,2,Stephen Curry,"Point Guard, Shooting Guard",6.3,28,0,0,3PT Field Goal,Above the Break 3,24+ ft.,Golden State Warriors
Jump Shot,Missed Shot,92,260,9,3,Stephen Curry,"Point Guard, Shooting Guard",6.3,27,0,0,3PT Field Goal,Above the Break 3,24+ ft.,Golden State Warriors
