action_type,event_type,loc_x,loc_y,minutes_remaining,period,player_name,position,height,shot_distance,shot_made_flag,points,shot_type,shot_zone_basic,shot_zone_range,team_name
Layup Shot,Missed Shot,-3,34,8,1,Giannis Antetokounmpo,Power Forward,6.11,3,0,0,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Dunk Shot,Made Shot,6,10,7,1,Giannis Antetokounmpo,Power Forward,6.11,1,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Driving Layup Shot,Missed Shot,-14,20,7,1,Giannis Antetokounmpo,Power Forward,6.11,2,0,0,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Pullup Jump shot,Missed Shot,-131,235,6,1,Giannis Antetokounmpo,Power Forward,6.11,26,0,0,3PT Field Goal,Above the Break 3,24+ ft.,Milwaukee Bucks
Layup Shot,Missed Shot,36,33,0,1,Giannis Antetokounmpo,Power Forward,6.11,4,0,0,2PT Field Goal,In The Paint (Non-RA),Less Than 8 ft.,Milwaukee Bucks
Pullup Jump shot,Missed Shot,26,259,9,2,Giannis Antetokounmpo,Power Forward,6.11,26,0,0,3PT Field Goal,Above the Break 3,24+ ft.,Milwaukee Bucks
Running Layup Shot,Made Shot,4,8,8,2,Giannis Antetokounmpo,Power Forward,6.11,0,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Dunk Shot,Made Shot,4,16,7,2,Giannis Antetokounmpo,Power Forward,6.11,1,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Finger Roll Layup Shot,Made Shot,1,46,11,3,Giannis Antetokounmpo,Power Forward,6.11,4,1,2,2PT Field Goal,In The Paint (Non-RA),Less Than 8 ft.,Milwaukee Bucks
Driving Layup Shot,Missed Shot,41,60,10,3,Giannis Antetokounmpo,Power Forward,6.11,7,0,0,2PT Field Goal,In The Paint (Non-RA),Less Than 8 ft.,Milwaukee Bucks
Layup Shot,Missed Shot,16,59,10,3,Giannis Antetokounmpo,Power Forward,6.11,6,0,0,2PT Field Goal,In The Paint (Non-RA),Less Than 8 ft.,Milwaukee Bucks
Hook Shot,Made Shot,6,71,2,3,Giannis Antetokounmpo,Power Forward,6.11,7,1,2,2PT Field Goal,In The Paint (Non-RA),Less Than 8 ft.,Milwaukee Bucks
Fadeaway Jump Shot,Made Shot,-9,68,2,3,Giannis Antetokounmpo,Power Forward,6.11,6,1,2,2PT Field Goal,In The Paint (Non-RA),Less Than 8 ft.,Milwaukee Bucks
Dunk Shot,Made Shot,-5,13,0,3,Giannis Antetokounmpo,Power Forward,6.11,1,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Driving Dunk Shot,Made Shot,6,13,10,4,Giannis Antetokounmpo,Power Forward,6.11,1,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Pullup Jump shot,Missed Shot,-16,251,9,4,Giannis Antetokounmpo,Power Forward,6.11,25,0,0,3PT Field Goal,Above the Break 3,24+ ft.,Milwaukee Bucks
Driving Layup Shot,Missed Shot,-42,52,9,4,Giannis Antetokounmpo,Power Forward,6.11,6,0,0,2PT Field Goal,In The Paint (Non-RA),Less Than 8 ft.,Milwaukee Bucks
Layup Shot,Made Shot,-10,9,8,4,Giannis Antetokounmpo,Power Forward,6.11,1,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Dunk Shot,Missed Shot,-4,17,7,4,Giannis Antetokounmpo,Power Forward,6.11,1,0,0,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Layup Shot,Missed Shot,-35,50,6,4,Giannis Antetokounmpo,Power Forward,6.11,6,0,0,2PT Field Goal,In The Paint (Non-RA),Less Than 8 ft.,Milwaukee Bucks
Reverse Layup Shot,Missed Shot,1,15,4,4,Giannis Antetokounmpo,Power Forward,6.11,1,0,0,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Jump Shot,Missed Shot,3,74,10,1,Giannis Antetokounmpo,Power Forward,6.11,7,0,0,2PT Field Goal,In The Paint (Non-RA),Less Than 8 ft.,Milwaukee Bucks
Jump Shot,Missed Shot,-58,173,10,1,Giannis Antetokounmpo,Power Forward,6.11,18,0,0,2PT Field Goal,Mid-Range,16-24 ft.,Milwaukee Bucks
Dunk Shot,Made Shot,-8,1,9,1,Giannis Antetokounmpo,Power Forward,6.11,0,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Dunk Shot,Made Shot,-5,21,8,1,Giannis Antetokounmpo,Power Forward,6.11,2,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Driving Layup Shot,Made Shot,5,6,7,1,Giannis Antetokounmpo,Power Forward,6.11,0,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Dunk Shot,Made Shot,-20,58,6,1,Giannis Antetokounmpo,Power Forward,6.11,6,1,2,2PT Field Goal,In The Paint (Non-RA),Less Than 8 ft.,Milwaukee Bucks
Jump Shot,Missed Shot,62,263,0,1,Giannis Antetokounmpo,Power Forward,6.11,27,0,0,3PT Field Goal,Above the Break 3,24+ ft.,Milwaukee Bucks
Running Dunk Shot,Made Shot,-2,11,0,1,Giannis Antetokounmpo,Power Forward,6.11,1,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Jump Shot,Missed Shot,-108,236,0,1,Giannis Antetokounmpo,Power Forward,6.11,25,0,0,3PT Field Goal,Above the Break 3,24+ ft.,Milwaukee Bucks
Driving Layup Shot,Made Shot,-4,17,11,2,Giannis Antetokounmpo,Power Forward,6.11,1,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Running Dunk Shot,Made Shot,-3,3,10,2,Giannis Antetokounmpo,Power Forward,6.11,0,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Driving Layup Shot,Made Shot,11,19,7,2,Giannis Antetokounmpo,Power Forward,6.11,2,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Tip Dunk Shot,Made Shot,0,-6,7,2,Giannis Antetokounmpo,Power Forward,6.11,0,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Driving Finger Roll Layup Shot,Made Shot,-14,9,5,2,Giannis Antetokounmpo,Power Forward,6.11,1,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Jump Shot,Missed Shot,71,258,1,2,Giannis Antetokounmpo,Power Forward,6.11,26,0,0,3PT Field Goal,Above the Break 3,24+ ft.,Milwaukee Bucks
Jump Shot,Missed Shot,96,461,0,2,Giannis Antetokounmpo,Power Forward,6.11,47,0,0,3PT Field Goal,Backcourt,Back Court Shot,Milwaukee Bucks
Dunk Shot,Made Shot,6,6,11,3,Giannis Antetokounmpo,Power Forward,6.11,0,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Jump Shot,Missed Shot,-130,242,8,3,Giannis Antetokounmpo,Power Forward,6.11,27,0,0,3PT Field Goal,Above the Break 3,24+ ft.,Milwaukee Bucks
Driving Layup Shot,Made Shot,2,-4,7,3,Giannis Antetokounmpo,Power Forward,6.11,0,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Hook Shot,Missed Shot,19,29,9,4,Giannis Antetokounmpo,Power Forward,6.11,3,0,0,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Tip Layup Shot,Missed Shot,0,-6,9,4,Giannis Antetokounmpo,Power Forward,6.11,0,0,0,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Jump Shot,Missed Shot,-157,233,8,4,Giannis Antetokounmpo,Power Forward,6.11,28,0,0,3PT Field Goal,Above the Break 3,24+ ft.,Milwaukee Bucks
Layup Shot,Missed Shot,-3,62,8,4,Giannis Antetokounmpo,Power Forward,6.11,6,0,0,2PT Field Goal,In The Paint (Non-RA),Less Than 8 ft.,Milwaukee Bucks
Alley Oop Dunk Shot,Made Shot,8,16,9,1,Giannis Antetokounmpo,Power Forward,6.11,1,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Running Finger Roll Layup Shot,Made Shot,2,16,7,1,Giannis Antetokounmpo,Power Forward,6.11,1,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Driving Layup Shot,Made Shot,-4,17,7,1,Giannis Antetokounmpo,Power Forward,6.11,1,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Layup Shot,Missed Shot,-3,27,6,1,Giannis Antetokounmpo,Power Forward,6.11,2,0,0,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Driving Finger Roll Layup Shot,Made Shot,1,6,5,1,Giannis Antetokounmpo,Power Forward,6.11,0,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Dunk Shot,Missed Shot,2,15,0,1,Giannis Antetokounmpo,Power Forward,6.11,1,0,0,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Jump Bank Shot,Missed Shot,-134,245,0,1,Giannis Antetokounmpo,Power Forward,6.11,27,0,0,3PT Field Goal,Above the Break 3,24+ ft.,Milwaukee Bucks
Driving Layup Shot,Missed Shot,3,27,9,2,Giannis Antetokounmpo,Power Forward,6.11,2,0,0,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Layup Shot,Missed Shot,7,14,2,2,Giannis Antetokounmpo,Power Forward,6.11,1,0,0,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Dunk Shot,Missed Shot,-6,0,2,2,Giannis Antetokounmpo,Power Forward,6.11,0,0,0,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Tip Layup Shot,Missed Shot,0,-6,2,2,Giannis Antetokounmpo,Power Forward,6.11,0,0,0,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Pullup Jump shot,Made Shot,-2,178,0,2,Giannis Antetokounmpo,Power Forward,6.11,17,1,2,2PT Field Goal,Mid-Range,16-24 ft.,Milwaukee Bucks
Layup Shot,Made Shot,-2,2,10,3,Giannis Antetokounmpo,Power Forward,6.11,0,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Hook Shot,Made Shot,-6,15,9,3,Giannis Antetokounmpo,Power Forward,6.11,1,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Jump Shot,Missed Shot,11,85,9,3,Giannis Antetokounmpo,Power Forward,6.11,8,0,0,2PT Field Goal,In The Paint (Non-RA),8-16 ft.,Milwaukee Bucks
Layup Shot,Missed Shot,-23,39,7,3,Giannis Antetokounmpo,Power Forward,6.11,4,0,0,2PT Field Goal,In The Paint (Non-RA),Less Than 8 ft.,Milwaukee Bucks
Tip Layup Shot,Missed Shot,0,-6,7,3,Giannis Antetokounmpo,Power Forward,6.11,0,0,0,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Jump Shot,Missed Shot,-182,199,5,3,Giannis Antetokounmpo,Power Forward,6.11,26,0,0,3PT Field Goal,Above the Break 3,24+ ft.,Milwaukee Bucks
Driving Dunk Shot,Made Shot,3,5,11,4,Giannis Antetokounmpo,Power Forward,6.11,0,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Driving Layup Shot,Made Shot,4,6,10,4,Giannis Antetokounmpo,Power Forward,6.11,0,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Jump Shot,Missed Shot,-67,76,10,4,Giannis Antetokounmpo,Power Forward,6.11,10,0,0,2PT Field Goal,In The Paint (Non-RA),8-16 ft.,Milwaukee Bucks
Layup Shot,Made Shot,-8,5,9,4,Giannis Antetokounmpo,Power Forward,6.11,0,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Jump Shot,Missed Shot,146,38,8,4,Giannis Antetokounmpo,Power Forward,6.11,15,0,0,2PT Field Goal,Mid-Range,8-16 ft.,Milwaukee Bucks
Fadeaway Jump Shot,Missed Shot,-36,92,6,4,Giannis Antetokounmpo,Power Forward,6.11,9,0,0,2PT Field Goal,In The Paint (Non-RA),8-16 ft.,Milwaukee Bucks
Jump Shot,Made Shot,-236,46,6,4,Giannis Antetokounmpo,Power Forward,6.11,24,1,3,3PT Field Goal,Left Corner 3,24+ ft.,Milwaukee Bucks
Layup Shot,Missed Shot,5,7,4,4,Giannis Antetokounmpo,Power Forward,6.11,0,0,0,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Tip Layup Shot,Missed Shot,0,-6,3,4,Giannis Antetokounmpo,Power Forward,6.11,0,0,0,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Putback Layup Shot,Made Shot,-5,11,3,4,Giannis Antetokounmpo,Power Forward,6.11,1,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Dunk Shot,Made Shot,0,10,0,4,Giannis Antetokounmpo,Power Forward,6.11,1,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Layup Shot,Missed Shot,3,34,10,1,Giannis Antetokounmpo,Power Forward,6.11,3,0,0,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Putback Layup Shot,Made Shot,-11,9,10,1,Giannis Antetokounmpo,Power Forward,6.11,1,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Driving Floating Jump Shot,Missed Shot,38,73,1,1,Giannis Antetokounmpo,Power Forward,6.11,8,0,0,2PT Field Goal,In The Paint (Non-RA),8-16 ft.,Milwaukee Bucks
Driving Dunk Shot,Made Shot,-3,17,11,2,Giannis Antetokounmpo,Power Forward,6.11,1,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Driving Layup Shot,Made Shot,0,42,10,2,Giannis Antetokounmpo,Power Forward,6.11,4,1,2,2PT Field Goal,In The Paint (Non-RA),Less Than 8 ft.,Milwaukee Bucks
Running Dunk Shot,Made Shot,-6,13,9,2,Giannis Antetokounmpo,Power Forward,6.11,1,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Pullup Jump shot,Made Shot,-91,152,2,2,Giannis Antetokounmpo,Power Forward,6.11,17,1,2,2PT Field Goal,Mid-Range,16-24 ft.,Milwaukee Bucks
Turnaround Hook Shot,Missed Shot,40,41,2,2,Giannis Antetokounmpo,Power Forward,6.11,5,0,0,2PT Field Goal,In The Paint (Non-RA),Less Than 8 ft.,Milwaukee Bucks
Driving Dunk Shot,Made Shot,-5,14,1,2,Giannis Antetokounmpo,Power Forward,6.11,1,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Layup Shot,Missed Shot,7,46,0,2,Giannis Antetokounmpo,Power Forward,6.11,4,0,0,2PT Field Goal,In The Paint (Non-RA),Less Than 8 ft.,Milwaukee Bucks
Putback Layup Shot,Made Shot,-5,1,0,2,Giannis Antetokounmpo,Power Forward,6.11,0,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Jump Shot,Missed Shot,92,251,0,2,Giannis Antetokounmpo,Power Forward,6.11,26,0,0,3PT Field Goal,Above the Break 3,24+ ft.,Milwaukee Bucks
Hook Shot,Made Shot,0,40,0,2,Giannis Antetokounmpo,Power Forward,6.11,4,1,2,2PT Field Goal,In The Paint (Non-RA),Less Than 8 ft.,Milwaukee Bucks
Hook Shot,Missed Shot,-5,70,11,3,Giannis Antetokounmpo,Power Forward,6.11,7,0,0,2PT Field Goal,In The Paint (Non-RA),Less Than 8 ft.,Milwaukee Bucks
Finger Roll Layup Shot,Made Shot,6,6,11,3,Giannis Antetokounmpo,Power Forward,6.11,0,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Jump Shot,Missed Shot,-36,112,10,3,Giannis Antetokounmpo,Power Forward,6.11,11,0,0,2PT Field Goal,In The Paint (Non-RA),8-16 ft.,Milwaukee Bucks
Driving Layup Shot,Missed Shot,6,13,7,3,Giannis Antetokounmpo,Power Forward,6.11,1,0,0,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Jump Shot,Missed Shot,70,259,0,3,Giannis Antetokounmpo,Power Forward,6.11,26,0,0,3PT Field Goal,Above the Break 3,24+ ft.,Milwaukee Bucks
Jump Shot,Missed Shot,-116,253,9,4,Giannis Antetokounmpo,Power Forward,6.11,27,0,0,3PT Field Goal,Above the Break 3,24+ ft.,Milwaukee Bucks
Jump Shot,Missed Shot,9,179,9,4,Giannis Antetokounmpo,Power Forward,6.11,17,0,0,2PT Field Goal,Mid-Range,16-24 ft.,Milwaukee Bucks
Driving Layup Shot,Made Shot,4,2,6,4,Giannis Antetokounmpo,Power Forward,6.11,0,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Running Layup Shot,Made Shot,2,15,6,4,Giannis Antetokounmpo,Power Forward,6.11,1,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Cutting Dunk Shot,Made Shot,4,12,4,4,Giannis Antetokounmpo,Power Forward,6.11,1,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Hook Shot,Missed Shot,3,25,3,4,Giannis Antetokounmpo,Power Forward,6.11,2,0,0,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Jump Shot,Missed Shot,-218,-1,11,1,Giannis Antetokounmpo,Power Forward,6.11,21,0,0,3PT Field Goal,Mid-Range,16-24 ft.,Milwaukee Bucks
Hook Shot,Missed Shot,55,47,10,1,Giannis Antetokounmpo,Power Forward,6.11,7,0,0,2PT Field Goal,In The Paint (Non-RA),Less Than 8 ft.,Milwaukee Bucks
Pullup Jump shot,Missed Shot,-131,151,10,2,Giannis Antetokounmpo,Power Forward,6.11,19,0,0,2PT Field Goal,Mid-Range,16-24 ft.,Milwaukee Bucks
Jump Shot,Missed Shot,44,176,5,3,Giannis Antetokounmpo,Power Forward,6.11,18,0,0,2PT Field Goal,Mid-Range,16-24 ft.,Milwaukee Bucks
Finger Roll Layup Shot,Made Shot,-2,25,7,2,Giannis Antetokounmpo,Power Forward,6.11,2,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Jump Shot,Missed Shot,-6,58,1,2,Giannis Antetokounmpo,Power Forward,6.11,5,0,0,2PT Field Goal,In The Paint (Non-RA),Less Than 8 ft.,Milwaukee Bucks
Cutting Dunk Shot,Made Shot,-5,8,11,3,Giannis Antetokounmpo,Power Forward,6.11,0,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Dunk Shot,Made Shot,4,4,9,3,Giannis Antetokounmpo,Power Forward,6.11,0,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Driving Dunk Shot,Made Shot,2,26,9,3,Giannis Antetokounmpo,Power Forward,6.11,2,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Dunk Shot,Made Shot,-6,6,6,3,Giannis Antetokounmpo,Power Forward,6.11,0,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Driving Layup Shot,Missed Shot,11,26,10,1,Giannis Antetokounmpo,Power Forward,6.11,2,0,0,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Running Dunk Shot,Made Shot,1,8,10,1,Giannis Antetokounmpo,Power Forward,6.11,0,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Cutting Dunk Shot,Made Shot,2,10,8,1,Giannis Antetokounmpo,Power Forward,6.11,1,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Driving Layup Shot,Made Shot,1,14,5,1,Giannis Antetokounmpo,Power Forward,6.11,1,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Driving Dunk Shot,Made Shot,-8,20,8,2,Giannis Antetokounmpo,Power Forward,6.11,2,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Fadeaway Jump Shot,Missed Shot,11,136,1,2,Giannis Antetokounmpo,Power Forward,6.11,13,0,0,2PT Field Goal,In The Paint (Non-RA),8-16 ft.,Milwaukee Bucks
Driving Finger Roll Layup Shot,Made Shot,-2,13,0,2,Giannis Antetokounmpo,Power Forward,6.11,1,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Driving Layup Shot,Made Shot,9,13,0,2,Giannis Antetokounmpo,Power Forward,6.11,1,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Driving Layup Shot,Made Shot,2,21,9,4,Giannis Antetokounmpo,Power Forward,6.11,2,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Turnaround Hook Shot,Made Shot,-3,63,8,4,Giannis Antetokounmpo,Power Forward,6.11,6,1,2,2PT Field Goal,In The Paint (Non-RA),Less Than 8 ft.,Milwaukee Bucks
Layup Shot,Missed Shot,11,10,6,4,Giannis Antetokounmpo,Power Forward,6.11,1,0,0,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Pullup Jump shot,Made Shot,111,158,6,4,Giannis Antetokounmpo,Power Forward,6.11,19,1,2,2PT Field Goal,Mid-Range,16-24 ft.,Milwaukee Bucks
Jump Shot,Missed Shot,119,127,11,1,Giannis Antetokounmpo,Power Forward,6.11,17,0,0,2PT Field Goal,Mid-Range,16-24 ft.,Milwaukee Bucks
Driving Dunk Shot,Made Shot,-7,5,9,1,Giannis Antetokounmpo,Power Forward,6.11,0,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Driving Reverse Layup Shot,Missed Shot,18,8,5,1,Giannis Antetokounmpo,Power Forward,6.11,1,0,0,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Running Layup Shot,Made Shot,-2,11,11,2,Giannis Antetokounmpo,Power Forward,6.11,1,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Layup Shot,Missed Shot,-22,1,8,2,Giannis Antetokounmpo,Power Forward,6.11,2,0,0,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Jump Shot,Missed Shot,-35,197,8,2,Giannis Antetokounmpo,Power Forward,6.11,20,0,0,2PT Field Goal,Mid-Range,16-24 ft.,Milwaukee Bucks
Driving Finger Roll Layup Shot,Made Shot,6,-1,8,2,Giannis Antetokounmpo,Power Forward,6.11,0,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Driving Dunk Shot,Made Shot,-6,-6,7,2,Giannis Antetokounmpo,Power Forward,6.11,0,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Driving Layup Shot,Made Shot,-11,5,7,2,Giannis Antetokounmpo,Power Forward,6.11,1,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Step Back Jump shot,Made Shot,-1,120,5,2,Giannis Antetokounmpo,Power Forward,6.11,12,1,2,2PT Field Goal,In The Paint (Non-RA),8-16 ft.,Milwaukee Bucks
Layup Shot,Missed Shot,-6,-4,0,2,Giannis Antetokounmpo,Power Forward,6.11,0,0,0,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Fadeaway Jump Shot,Made Shot,-14,148,9,3,Giannis Antetokounmpo,Power Forward,6.11,14,1,2,2PT Field Goal,Mid-Range,8-16 ft.,Milwaukee Bucks
Turnaround Fadeaway Bank Jump Shot,Missed Shot,-73,36,8,3,Giannis Antetokounmpo,Power Forward,6.11,8,0,0,2PT Field Goal,In The Paint (Non-RA),8-16 ft.,Milwaukee Bucks
Driving Layup Shot,Made Shot,-4,9,5,3,Giannis Antetokounmpo,Power Forward,6.11,0,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Driving Layup Shot,Missed Shot,23,32,0,3,Giannis Antetokounmpo,Power Forward,6.11,3,0,0,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Driving Dunk Shot,Made Shot,5,4,10,4,Giannis Antetokounmpo,Power Forward,6.11,0,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Driving Finger Roll Layup Shot,Made Shot,-4,15,8,4,Giannis Antetokounmpo,Power Forward,6.11,1,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Dunk Shot,Made Shot,0,13,7,4,Giannis Antetokounmpo,Power Forward,6.11,1,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Driving Finger Roll Layup Shot,Made Shot,22,40,6,4,Giannis Antetokounmpo,Power Forward,6.11,4,1,2,2PT Field Goal,In The Paint (Non-RA),Less Than 8 ft.,Milwaukee Bucks
Driving Layup Shot,Made Shot,1,16,5,4,Giannis Antetokounmpo,Power Forward,6.11,1,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Driving Reverse Layup Shot,Missed Shot,19,4,0,4,Giannis Antetokounmpo,Power Forward,6.11,1,0,0,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Jump Shot,Missed Shot,-201,151,0,4,Giannis Antetokounmpo,Power Forward,6.11,25,0,0,3PT Field Goal,Above the Break 3,24+ ft.,Milwaukee Bucks
Driving Dunk Shot,Made Shot,-15,9,10,1,Giannis Antetokounmpo,Power Forward,6.11,1,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Jump Shot,Missed Shot,-127,241,10,1,Giannis Antetokounmpo,Power Forward,6.11,27,0,0,3PT Field Goal,Above the Break 3,24+ ft.,Milwaukee Bucks
Driving Layup Shot,Made Shot,5,15,0,1,Giannis Antetokounmpo,Power Forward,6.11,1,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Driving Layup Shot,Made Shot,-5,9,11,2,Giannis Antetokounmpo,Power Forward,6.11,1,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Turnaround Fadeaway shot,Made Shot,-87,79,10,2,Giannis Antetokounmpo,Power Forward,6.11,11,1,2,2PT Field Goal,Mid-Range,8-16 ft.,Milwaukee Bucks
Jump Shot,Missed Shot,-131,72,3,2,Giannis Antetokounmpo,Power Forward,6.11,14,0,0,2PT Field Goal,Mid-Range,8-16 ft.,Milwaukee Bucks
Driving Layup Shot,Missed Shot,16,32,2,2,Giannis Antetokounmpo,Power Forward,6.11,3,0,0,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Driving Dunk Shot,Made Shot,13,22,9,3,Giannis Antetokounmpo,Power Forward,6.11,2,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Alley Oop Dunk Shot,Made Shot,13,15,9,3,Giannis Antetokounmpo,Power Forward,6.11,1,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Driving Dunk Shot,Made Shot,13,11,8,3,Giannis Antetokounmpo,Power Forward,6.11,1,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
