id,grid_type,game_id,game_event_id,player_id,player_name,team_id,team_name,period,minutes_remaining,seconds_remaining,event_type,action_type,shot_type,shot_zone_basic,shot_zone_area,shot_zone_range,shot_distance,loc_x,loc_y,shot_attempted_flag,shot_made_flag,game_date,htm,vtm,current_team
162195,Shot Chart Detail,21800501,11,1628378,Donovan Mitchell,1610612762,Utah Jazz,1,11,12,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-75,43,1,1,20181225,UTA,POR,Jazz
162196,Shot Chart Detail,21800501,34,1628378,Donovan Mitchell,1610612762,Utah Jazz,1,9,59,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-166,36,1,0,20181225,UTA,POR,Jazz
162197,Shot Chart Detail,21800501,53,1628378,Donovan Mitchell,1610612762,Utah Jazz,1,8,48,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-95,153,1,0,20181225,UTA,POR,Jazz
162198,Shot Chart Detail,21800501,93,1628378,Donovan Mitchell,1610612762,Utah Jazz,1,4,58,Made Shot,Running Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,10,1,1,20181225,UTA,POR,Jazz
162199,Shot Chart Detail,21800501,215,1628378,Donovan Mitchell,1610612762,Utah Jazz,2,8,48,Missed Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,88,50,1,0,20181225,UTA,POR,Jazz
162200,Shot Chart Detail,21800501,237,1628378,Donovan Mitchell,1610612762,Utah Jazz,2,7,29,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-162,180,1,0,20181225,UTA,POR,Jazz
162201,Shot Chart Detail,21800501,272,1628378,Donovan Mitchell,1610612762,Utah Jazz,2,4,58,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-21,-1,1,1,20181225,UTA,POR,Jazz
162202,Shot Chart Detail,21800501,284,1628378,Donovan Mitchell,1610612762,Utah Jazz,2,4,27,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-42,161,1,1,20181225,UTA,POR,Jazz
162203,Shot Chart Detail,21800501,319,1628378,Donovan Mitchell,1610612762,Utah Jazz,2,1,50,Missed Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,94,58,1,0,20181225,UTA,POR,Jazz
162204,Shot Chart Detail,21800501,323,1628378,Donovan Mitchell,1610612762,Utah Jazz,2,1,7,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,117,247,1,1,20181225,UTA,POR,Jazz
162205,Shot Chart Detail,21800501,367,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,10,37,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,6,37,1,1,20181225,UTA,POR,Jazz
162206,Shot Chart Detail,21800501,370,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,10,20,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-190,188,1,0,20181225,UTA,POR,Jazz
162207,Shot Chart Detail,21800501,386,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,9,6,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,22,24,220,1,0,20181225,UTA,POR,Jazz
162208,Shot Chart Detail,21800501,541,1628378,Donovan Mitchell,1610612762,Utah Jazz,4,9,47,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-63,36,1,0,20181225,UTA,POR,Jazz
162209,Shot Chart Detail,21800501,549,1628378,Donovan Mitchell,1610612762,Utah Jazz,4,8,51,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-174,196,1,0,20181225,UTA,POR,Jazz
162210,Shot Chart Detail,21800501,609,1628378,Donovan Mitchell,1610612762,Utah Jazz,4,4,49,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,220,96,1,1,20181225,UTA,POR,Jazz
162211,Shot Chart Detail,21800501,619,1628378,Donovan Mitchell,1610612762,Utah Jazz,4,3,36,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-49,88,1,0,20181225,UTA,POR,Jazz
162212,Shot Chart Detail,21800515,24,1628378,Donovan Mitchell,1610612762,Utah Jazz,1,10,42,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,11,8,1,1,20181227,UTA,PHI,Jazz
162213,Shot Chart Detail,21800515,28,1628378,Donovan Mitchell,1610612762,Utah Jazz,1,10,28,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-147,230,1,0,20181227,UTA,PHI,Jazz
162214,Shot Chart Detail,21800515,34,1628378,Donovan Mitchell,1610612762,Utah Jazz,1,9,58,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-132,65,1,0,20181227,UTA,PHI,Jazz
162215,Shot Chart Detail,21800515,103,1628378,Donovan Mitchell,1610612762,Utah Jazz,1,4,32,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-106,164,1,1,20181227,UTA,PHI,Jazz
163180,Shot Chart Detail,21800011,348,204060,Joe Ingles,1610612762,Utah Jazz,3,11,30,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-134,226,1,1,20181017,SAC,UTA,Jazz
162216,Shot Chart Detail,21800515,106,1628378,Donovan Mitchell,1610612762,Utah Jazz,1,4,9,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-56,55,1,0,20181227,UTA,PHI,Jazz
162217,Shot Chart Detail,21800515,117,1628378,Donovan Mitchell,1610612762,Utah Jazz,1,3,19,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,11,-66,88,1,1,20181227,UTA,PHI,Jazz
162218,Shot Chart Detail,21800515,230,1628378,Donovan Mitchell,1610612762,Utah Jazz,2,6,51,Made Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-13,188,1,1,20181227,UTA,PHI,Jazz
162219,Shot Chart Detail,21800515,244,1628378,Donovan Mitchell,1610612762,Utah Jazz,2,6,15,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-234,112,1,0,20181227,UTA,PHI,Jazz
162220,Shot Chart Detail,21800515,251,1628378,Donovan Mitchell,1610612762,Utah Jazz,2,5,45,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,29,-125,269,1,1,20181227,UTA,PHI,Jazz
162221,Shot Chart Detail,21800515,299,1628378,Donovan Mitchell,1610612762,Utah Jazz,2,2,20,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-234,44,1,0,20181227,UTA,PHI,Jazz
162222,Shot Chart Detail,21800515,320,1628378,Donovan Mitchell,1610612762,Utah Jazz,2,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,29,-17,298,1,0,20181227,UTA,PHI,Jazz
162223,Shot Chart Detail,21800515,334,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,11,20,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,51,247,1,0,20181227,UTA,PHI,Jazz
162224,Shot Chart Detail,21800515,367,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,8,30,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-37,174,1,0,20181227,UTA,PHI,Jazz
162225,Shot Chart Detail,21800515,425,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,4,33,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,10,-78,68,1,1,20181227,UTA,PHI,Jazz
162226,Shot Chart Detail,21800515,429,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,4,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,63,245,1,1,20181227,UTA,PHI,Jazz
162227,Shot Chart Detail,21800515,556,1628378,Donovan Mitchell,1610612762,Utah Jazz,4,8,26,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,61,166,1,1,20181227,UTA,PHI,Jazz
162228,Shot Chart Detail,21800515,566,1628378,Donovan Mitchell,1610612762,Utah Jazz,4,7,56,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,101,230,1,1,20181227,UTA,PHI,Jazz
162229,Shot Chart Detail,21800515,596,1628378,Donovan Mitchell,1610612762,Utah Jazz,4,5,26,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-154,211,1,0,20181227,UTA,PHI,Jazz
162230,Shot Chart Detail,21800515,628,1628378,Donovan Mitchell,1610612762,Utah Jazz,4,3,13,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,98,263,1,0,20181227,UTA,PHI,Jazz
162231,Shot Chart Detail,21800515,650,1628378,Donovan Mitchell,1610612762,Utah Jazz,4,1,58,Made Shot,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-37,100,1,1,20181227,UTA,PHI,Jazz
162232,Shot Chart Detail,21800532,11,1628378,Donovan Mitchell,1610612762,Utah Jazz,1,11,17,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-175,184,1,0,20181229,UTA,NYK,Jazz
162233,Shot Chart Detail,21800532,41,1628378,Donovan Mitchell,1610612762,Utah Jazz,1,8,49,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,109,231,1,0,20181229,UTA,NYK,Jazz
